Object    HJD 24...     Filter  Magnitude
SU_Hor    55896.30476      B      14.877
SU_Hor    55896.27438     Ic      13.885
SU_Hor    55896.27349      B      14.809
SU_Hor    55896.27397      V      14.434
SU_Hor    55896.40882     Ic      14.033
SU_Hor    55896.40829      V      14.540
SU_Hor    55896.40770      B      14.941
SU_Hor    55896.34973     Ic      13.958
SU_Hor    55896.34943      V      14.494
SU_Hor    55896.34906      B      14.861
SU_Hor    55896.30542     Ic      13.912
SU_Hor    55896.30512      v      14.440
SU_Hor    55897.38547      V      14.536
SU_Hor    55897.28281      B      14.882
SU_Hor    55897.28317      V      14.428
SU_Hor    55897.28347     Ic      13.927
SU_Hor    55897.32273      B      14.950
SU_Hor    55897.32309      V      14.534
SU_Hor    55897.32339     Ic      13.999
SU_Hor    55897.35403      b      14.969
SU_Hor    55897.35439      V      14.586
SU_Hor    55897.35469     Ic      14.057
SU_Hor    55897.38510      B      14.941
SU_Hor    55897.38577     Ic      14.003
SU_Hor    55898.33239      B      14.921
SU_Hor    55898.33275      V      14.527
SU_Hor    55898.33306     Ic      14.006
SU_Hor    55898.46447      V      13.895
SU_Hor    55898.46400      b      14.132
SU_Hor    55898.46489     Ic      13.559
SU_Hor    55898.26331      B      14.900
SU_Hor    55898.26367      V      14.529
SU_Hor    55898.26397     Ic      13.997
SU_Hor    55898.30693      B      15.013
SU_Hor    55898.30730      V      14.586
SU_Hor    55898.30760     Ic      14.069
SU_Hor    55899.36304      B      13.819
SU_Hor    55899.34493     Ic      13.348
SU_Hor    55899.34451      V      13.493
SU_Hor    55899.36395     Ic      13.438
SU_Hor    55899.36353      V      13.655
SU_Hor    55899.26204      B      14.976
SU_Hor    55899.26252      V      14.587
SU_Hor    55899.26294     Ic      14.043
SU_Hor    55899.28390      B      14.813
SU_Hor    55899.28438      V      14.446
SU_Hor    55899.28480     Ic      13.944
SU_Hor    55899.29108      B      14.698
SU_Hor    55899.29144      V      14.358
SU_Hor    55899.29174     Ic      13.900
SU_Hor    55899.29705      B      14.518
SU_Hor    55899.29741      V      14.207
SU_Hor    55899.29772     Ic      13.801
SU_Hor    55899.30389      B      14.262
SU_Hor    55899.30425      V      13.975
SU_Hor    55899.30455     Ic      13.655
SU_Hor    55899.31535      B      13.743
SU_Hor    55899.31571      V      13.620
SU_Hor    55899.31601     Ic      13.424
SU_Hor    55899.32655      B      13.498
SU_Hor    55899.32692      V      13.428
SU_Hor    55899.32722     Ic      13.303
SU_Hor    55899.33564      B      13.523
SU_Hor    55899.33611      V      13.429
SU_Hor    55899.33653     Ic      13.275
SU_Hor    55899.38643      B      13.978
SU_Hor    55899.38691      V      13.818
SU_Hor    55899.38732     Ic      13.520
SU_Hor    55899.34403      B      13.563
SU_Hor    55899.48736     Ic      13.751
SU_Hor    55899.48694      V      14.236
SU_Hor    55899.48646      B      14.585
SU_Hor    55900.36691     Ic      13.614
SU_Hor    55900.42322      B      14.605
SU_Hor    55900.42381      V      14.263
SU_Hor    55900.34394      B      14.102
SU_Hor    55900.30080      V      13.620
SU_Hor    55900.30769     Ic      13.439
SU_Hor    55900.30727      V      13.668
SU_Hor    55900.30680      B      13.805
SU_Hor    55900.30122     Ic      13.379
SU_Hor    55900.30033      B      13.737
SU_Hor    55900.29469     Ic      13.341
SU_Hor    55900.29423      V      13.570
SU_Hor    55900.34431      V      13.904
SU_Hor    55900.42435     Ic      13.779
SU_Hor    55900.27461     Ic      13.300
SU_Hor    55900.27431      V      13.419
SU_Hor    55900.27395      B      13.494
SU_Hor    55900.26763     Ic      13.271
SU_Hor    55900.26733      V      13.402
SU_Hor    55900.26697      B      13.473
SU_Hor    55900.34461     Ic      13.566
SU_Hor    55900.36625      B      14.258
SU_Hor    55900.36661      V      14.033
SU_Hor    55900.29364      B      13.673
SU_Hor    55901.32748      V      14.096
SU_Hor    55901.32712      B      14.327
SU_Hor    55901.29569     Ic      13.588
SU_Hor    55901.29538      V      13.949
